translation,modern_translation,bleu_score,bleurt_score,bert_score
范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。,范 仲 才 在 二 岁 才 被 孤 弃 ， 他 几 乎 忘,6.9681484127616906e-155,0.3567972183227539,0.7367131114006042
范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。 母 亲 很 穷 ， 没 有 依 靠 。,年 岁 二 岁 才 孤 单 ， 母 亲 贫 穷 ， 不 敢 挟 着 他 们 ,6.0157543757845445e-155,0.3845419287681579,0.7168519496917725
范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。 母 亲 很 穷 ， 没 有 依 靠 。 就 改 嫁 到 了 常 山 的 朱 家 。,国 范 仲 东 子 孟 子 洪 水 二 岁 时 孤 儿 ， 母 亲 贫 穷 ， 后 来 又 能 够 适 度 地 侍 候 于 山 朱 子 ,7.455014825922596e-155,0.3748074173927307,0.6950147151947021
母 亲 很 穷 ， 没 有 依 靠 。,"母 亲 恭 恭 不 鞠 板 ， 没 有 权 力 相 比 ,",3.3252037442622604e-78,0.4295452237129211,0.6878026127815247
母 亲 很 穷 ， 没 有 依 靠 。 就 改 嫁 到 了 常 山 的 朱 家 。,现 在 母 亲 们 们 们 是 贫 富 很 差 的 ， 我 们 只 有 适 够 的 山 地 居 住 地 方 ， 周 密 地 安 邠 族 的 人 。,4.152586198841012e-155,0.2554796040058136,0.6291094422340393
就 改 嫁 到 了 常 山 的 朱 家 。,一 次 再 有 所 不 适 忍 佛 的 山 ， 朱 子 的 阻 止 不 断 绝 。,1.2035620841904512e-231,0.2109590321779251,0.5814064741134644
长 大 以 后 ，,是 已 长  Development ，,1.4488496539373276e-231,0.1417009532451629,0.5695595145225525
长 大 以 后 ， 知 道 了 自 己 的 生 世 ，,已 长 了 ， 知 道 自 己 的 世 家 ， 就 可 以 离 开 了 ， 不 用 担 心 。,3.5634144457411127e-78,0.4438430070877075,0.7026605606079102
长 大 以 后 ， 知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ，,已 况 的 长 官 ， 知 道 自 己 的 世 家 将 要 灭 终 ， 感 叹 而 哭 辞 藐 离 ，,3.2683416997819595e-78,0.3601837754249573,0.6665217280387878
长 大 以 后 ， 知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,已 长 了 ， 知 道 自 己 要 去 学 习 ， 感 叹 着 诗 词 语 ， 离 开 快 乐 的 世 家 ， 离 开 快 乐 的 国 家 ,2.95880460083302e-78,0.2683395445346832,0.657651960849762
知 道 了 自 己 的 生 世 ，,知 道 自 己 的 世 家 ， 那 就 不 怎 么 办 了 呢 ？ ， 我 们 要 去 爱 民 ,2.5751259695884524e-78,0.1627722978591919,0.6821810007095337
知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ，,知 道,5.003989162961595e-158,0.1214675977826118,0.5136616826057434
知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,知 道 自 己 的 世 家 ， 感 受 到 诗 词 叫 叫 而 流 泪 ， 离 开 他 们 后 一 年 去 到 南 天 国 学 得 很 高 ，,2.9709583063858556e-78,0.2199492454528808,0.7015968561172485
含 着 眼 泪 告 别 母 亲 ，,是 感 泄 辞 猛 妻 ， 牵 动 心 慌 慌 ， 猜 测 是 诗 句 吧 ,8.726094729337946e-232,0.2466720938682556,0.5602726936340332
含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,感 动 到 泪 水 流 萁 ， 离 开 后 就 迁 到 南 方 的 大 都  ， 上 学 到 巧 趋 筑 。,2.1856718250793204e-78,0.3396538197994232,0.6780951619148254
离 开 去 应 天 府 的 南 都 学 舍 读 书 。,一 年 四 季 才 够 离 开 ， 离 开 后 就 赶 快 上 学 。 ,5.043788381574437e-155,0.3906958103179931,0.6193958520889282
白 天 、 深 夜 都 认 真 读 书 。,昼 夜 都 学 坏 倍 劳 劳 糊 糊 地 学 习 ， 学 不 倒 缩 ,4.241303569364337e-155,0.4038633704185486,0.6420164108276367
白 天 、 深 夜 都 认 真 读 书 。 五 年 中 ， 竟 然 没 有 曾 经 脱 去 衣 服 上 床 睡 觉 。,昼 夜 学  hard ， 五 年 不 解 却 停 了 睡 觉 。,1.3306253342398055e-78,0.2468883991241455,0.6753299236297607
五 年 中 ， 竟 然 没 有 曾 经 脱 去 衣 服 上 床 睡 觉 。,五 年 没 有 解 决 他 们 坞 的 就 寝 坞 里 。,5.337102335264827e-155,0.2074178606271743,0.6577206254005432
有 时 夜 里 感 到 昏 昏 欲 睡 ，,又 觉 了 很 昏 失 明 ，,8.853864984883468e-232,0.4810384511947632,0.6438934803009033
有 时 夜 里 感 到 昏 昏 欲 睡 ， 往 往 把 水 浇 在 脸 上 。,一 次 是 夜 幕 下 犹 昏 昧 ， 辄 为 利 益 而 修 养 干 劲 的 。,1.2035620841904512e-231,0.1763417720794677,0.6345701813697815
往 往 把 水 浇 在 脸 上 。,杨 贲 以 水 沥 扫 荒 田 。,1.250849891192838e-231,0.3337105214595794,0.6550695300102234
什 么 也 不 吃 ，,晏 子 说 ： 我 往 日 糖 薗 易 如 金 ，,9.594503055152632e-232,0.0488618090748786,0.5620195269584656
什 么 也 不 吃 ， 直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ，,过 往 没 有 充 满 糖 干 的 糖 水 ， 日 昃 时 候 就 开 始 吃 饭 了 ，,1.2439956612288085e-231,0.19399493932724,0.6308338046073914
什 么 也 不 吃 ， 直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ， 他 领 悟 了 六 经 的 主 旨 ，,过 往 没 有 充 满 糖 水 的 快 乐 ， 稍 后 才 开 始 吃 着 瘿 糜 的 食 物 ， 稍 后 才 能 充 满 六 经 的 意 志 ，,1.6623521759654575e-78,0.2308973371982574,0.6442257761955261
什 么 也 不 吃 ， 直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ， 他 领 悟 了 六 经 的 主 旨 ， 后 来 又 立 下 了 造 福 天 下 的 志 向 。,现 在 糖 食 搴 搴 不 满 ， 天 下 大 扩 开 始 要 食 ， 禹 先 生 推 开 六 经 的 重 要 ， 感 叹 自,1.3264573141001476e-78,0.139778584241867,0.629139244556427
直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ，,日 日 成 长 起 来 ，,3.192056898346732e-232,0.1403043866157531,0.5800701379776001
直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ， 他 领 悟 了 六 经 的 主 旨 ，,一 天 日 昃 起 吃 饭 ， 然 后 才 准 备 大 众 的 六 经 ， 这 是 为 了 让 人 们 能 够 接 受 这 些 经 理 学 说 的 ， 是 个 很 明 明 的 策 略 。,4.071492178318985e-155,0.28083536028862,0.6421277523040771
直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ， 他 领 悟 了 六 经 的 主 旨 ， 后 来 又 立 下 了 造 福 天 下 的 志 向 。,一 天 日 昃 起 吃 饭 ， 终 于 推 行 六 经 的 根 基 ， 怒 气 甘 为 人 生 起 来 ， 意 志 向 于 天 下 。,1.9755309407647872e-78,0.2575694322586059,0.6758430600166321
他 领 悟 了 六 经 的 主 旨 ，,然 后 统 一 六 国 ，,8.676910262183261e-232,0.2093268483877182,0.6734678149223328
他 领 悟 了 六 经 的 主 旨 ， 后 来 又 立 下 了 造 福 天 下 的 志 向 。,现 在 把 大 概 接 继 了 六 经 的 意 气 ， 感 动 而 有 志 气 地 说 ： 天 下 有 志 。,0.1100206828436183,0.5152729749679565,0.6804282069206238
后 来 又 立 下 了 造 福 天 下 的 志 向 。,语 体 翻 译 结 果 为 ：感 动 而 有 志 向 于 天 下 。,6.53175655370481e-155,0.4008222222328186,0.6475288271903992
他 常 常 自 己 讲 道 ：,人 们 经 常 自 己 所 具 有 的 经 历 所 识 感 受 到 ， 常 常 说 ： 。,2.367371798408295e-78,0.4178107976913452,0.6811707019805908
他 常 常 自 己 讲 道 ： 当 先 天 下 之 忧 而 忧 ，,常 常 受 受 受 受 说 诸 侯 们 倒 受 受 忧 愁 而 忧 愁 ， 当 时 天 下 就 很 忧 愁 ；,6.484592771860512e-155,0.5726192593574524,0.6756622791290283
他 常 常 自 己 讲 道 ： 当 先 天 下 之 忧 而 忧 ， 后 天 下 之 乐 而 乐 。,现 在 经 常 常 叫 做 ： 凭 仗 着 着 有 所 忧 愁 的 时 候 忧 愁 ， 端 正 的 时 候 快 乐 的 。,4.542803746870438e-155,0.5470872521400452,0.6476541757583618
当 先 天 下 之 忧 而 忧 ，,当 时 快 速 统 治 天 下 而 忧 愁 ， 是 因 为 天 下 太 多 了 ；,6.13274920178966e-155,0.4335876703262329,0.687869131565094
当 先 天 下 之 忧 而 忧 ， 后 天 下 之 乐 而 乐 。,现 在 天 下 快 要 崩 溃 ， 后 面 天 下 快 乐 而 快 乐 。,9.223764164425295e-155,0.5888947248458862,0.7112818956375122
后 天 下 之 乐 而 乐 。,后 世 都 以 为 那 里 下 的 快 乐 而 快 乐 。,7.293108985295422e-155,0.5434281826019287,0.6909499764442444
颜 渊 、,颜 渊 、,1.2213386697554703e-77,1.0053093433380127,1.0
颜 渊 、 子 路 侍 奉 在 孔 子 身 边 。,陈 颜 、,5.872692154299364e-233,0.1078258901834487,0.5733997821807861
子 路 侍 奉 在 孔 子 身 边 。,现 在 就 可 以 到 季 路 了 。,1.3483065280626046e-231,0.146957665681839,0.5883335471153259
孔 子 对 他 们 说 ：,文 言 文 化 之 人 兼 乐 ，,0.0,0.0559273585677146,0.530531108379364
孔 子 对 他 们 说 ： 何 不 各 自 说 你 们 的 志 向 呢 ？,陈 子 宋 说 ： 你 怎 么 说 ？ 盍 仗 着 各 种 见 解 你 的 意 志 呢 ？,6.651078679862552e-155,0.3731474280357361,0.7073230147361755
何 不 各 自 说 你 们 的 志 向 呢 ？,拥 有 这 样 多 的 言 谈 ， 盍 盆 旱 各 有 所 忍 住 ,1.0669733992029681e-231,0.1625934243202209,0.5949538350105286
子 路 说 ：,子 路 说 ：,1.0,1.0139392614364624,1.0
子 路 说 ： 希 望 可 以 把 车 马 衣 服 皮 袍 等 都 和 朋 友 一 起 分 享 共 用 ，,子 路 说 ： 与 我 们 共 享 圣 人 的 美 丧 ， 但 是 别 人 也 有 圣 人 的 亲 爱 ， 所 以 不 能 免 诱 取 他 们 的 心 怀 。,0.0683963348108131,0.3349100649356842,0.6250508427619934
子 路 说 ： 希 望 可 以 把 车 马 衣 服 皮 袍 等 都 和 朋 友 一 起 分 享 共 用 ， 就 算 这 些 东 西 都 破 旧 了 也 没 有 什 么 遗 憾 。,陈 子 路 说 ： 与 我 们 的 朋 友 一 起 ， 昔 年 没 有 。,0.074198624379504,0.1990794986486435,0.6594110131263733
希 望 可 以 把 车 马 衣 服 皮 袍 等 都 和 朋 友 一 起 分 享 共 用 ，,与  friends 一 起 ，,2.536500169166828e-156,0.1261458843946457,0.619827151298523
希 望 可 以 把 车 马 衣 服 皮 袍 等 都 和 朋 友 一 起 分 享 共 用 ， 就 算 这 些 东 西 都 破 旧 了 也 没 有 什 么 遗 憾 。,与  friends 一 起 ， 我 却 不 拿 他 们 。,5.552629969551449e-156,0.0450494289398193,0.6034371256828308
就 算 这 些 东 西 都 破 旧 了 也 没 有 什 么 遗 憾 。,我 也 不 敢 执 行 。,2.7671235799218932e-232,0.0707396268844604,0.6216213703155518
颜 渊 说 ：,颜 渊 说 ：,1.0,1.0548460483551023,0.9999999403953552
颜 渊 说 ： 希 望 不 夸 耀 自 己 的 长 处 ，,颜 渊 说 ： 我 愿 意 不 伐 善 者 ，,0.1827249680232283,0.5800624489784241,0.7475683689117432
颜 渊 说 ： 希 望 不 夸 耀 自 己 的 长 处 ， 也 不 表 白 自 己 的 功 劳 。,陈 渊 说 ： 我 恳 恳 希 望 不 要 侵 犯 善 良 的 人 ， 不 施 行 劳 作 。,3.4179895676652787e-78,0.4228740930557251,0.717842161655426
希 望 不 夸 耀 自 己 的 长 处 ，,我 愿 终 生 不 伐 善 者 ， 不 伐 善 的 也 是 为 了 免 诛 善 者 ，,1.1070900996592688e-231,0.4399667382240295,0.6240013241767883
希 望 不 夸 耀 自 己 的 长 处 ， 也 不 表 白 自 己 的 功 劳 。,我 愿 终 生 不 伐 善 ， 不 施 行 劳 资 。,8.542236178511213e-232,0.4977819323539734,0.6376767754554749
也 不 表 白 自 己 的 功 劳 。,参考翻译结果a: 不 施 行 动 作 。,8.676910262183261e-232,0.242944449186325,0.5947798490524292
子 路 对 孔 子 说 ：,子 路 说 ：,6.366907487417713e-155,0.6257075667381287,0.8690816760063171
子 路 对 孔 子 说 ： 愿 意 听 您 的 志 向 。,陈 子 路 说 ： 我 愿 意 听 孟 子 的 意 志 。,4.3516966646420565e-78,0.5851843953132629,0.8448746204376221
愿 意 听 您 的 志 向 。,我 也 愿 意 听 孟 子 的 心 志 。,4.0524962413351e-78,0.6104410886764526,0.7852770090103149
孔 子 说 ：,文 言 文 化 之 人 兼 乐 ，,0.0,0.0799891203641891,0.5285423994064331
孔 子 说 ： 能 让 老 人 过 得 安 适 ，,孟 子 说 ： 老 百 姓 安 定 ， 那 就 可 以 安 邠 。,2.8442409087371782e-78,0.437666654586792,0.7583404779434204
孔 子 说 ： 能 让 老 人 过 得 安 适 ， 能 让 所 有 朋 友 的 信 任 ，,陈 子 说 ： 老 百 姓 安 家 ， 朋 友 相 信 ， 这 就 可 以 几 乎 很 多 。,2.722864199982378e-78,0.4059426784515381,0.6853601336479187
孔 子 说 ： 能 让 老 人 过 得 安 适 ， 能 让 所 有 朋 友 的 信 任 ， 能 让 年 轻 的 人 怀 念 。,语 言 文 言 经 典 上 说 ： 老 百 姓 安 定 ， 朋 友 相 信 ， 少 的 人 总 是 怀 念 他 。,6.892919392507987e-155,0.5820820927619934,0.6934930682182312
能 让 老 人 过 得 安 适 ，,见 见 个 老 人 安 定 ，,6.805395922591311e-155,0.5249448418617249,0.7219190001487732
能 让 老 人 过 得 安 适 ， 能 让 所 有 朋 友 的 信 任 ，,老 百 妇 都 安 定 ， 朋 友 相 信 ， 。 ,4.3273494652935824e-155,0.4745556712150574,0.7024549841880798
能 让 老 人 过 得 安 适 ， 能 让 所 有 朋 友 的 信 任 ， 能 让 年 轻 的 人 怀 念 。,老 百 妇 都 安 定 ， 朋 友 相 信 他 ， 少 少 的 人 也 怀 孕 。,5.1132936686494846e-155,0.4400435090065002,0.671237587928772
能 让 所 有 朋 友 的 信 任 ，,亲 爱 的 朋 友 相 信 ， 只 要 您 相 信 他 们 ， 这 就 可 以 救 他 们 了 。 请 ��,4.333416561231983e-155,0.2328033745288849,0.6142740845680237
能 让 所 有 朋 友 的 信 任 ， 能 让 年 轻 的 人 怀 念 。,语 法 正 确 但 语 法 简 洁 ， 简 言 诗 长 ， 朋 友 相 信 ,4.9054707110052255e-155,0.3415179848670959,0.6018546223640442
能 让 年 轻 的 人 怀 念 。,语 义 上 少 有 。,7.060301868108111e-232,0.0789005160331726,0.5849691033363342
凡 是 顾 炎 武 外 出 旅 行 ，,前 生 的 所 有 人 都 去 游 离 ， ， ,9.788429383461836e-232,0.2612971067428589,0.5733110904693604
凡 是 顾 炎 武 外 出 旅 行 ， 都 用 马 、 骡 子 载 着 书 跟 随 自 己 。,现 在 的 人 几 个 ， 他 们 游 览 古 人 的 地 方 ， 只 有 两 匹 马 三 骏 三 颗 鞋 跟 一 匹 骆 马 一 匹 羊 三 匹 鞋 跟 一 只 狮,9.418382295637229e-232,0.2579242587089538,0.581565260887146
都 用 马 、 骡 子 载 着 书 跟 随 自 己 。,参 考 翻 译 结 果 ：以 二 只 马 三 颗 ��ulus 轻 轻 跑 一 起 搜 求 学 说 ，,8.319100378795605e-232,0.1469673365354538,0.5915700793266296
到 了 险 要 的 地 方 ，,所 谓 厄 塞 的 ， 是 最 低 最 劣 的 ， 是 最 劣 担 劲 的 ,1.0377133938315696e-231,0.2842044532299042,0.5659224390983582
到 了 险 要 的 地 方 ， 就 叫 退 役 的 差 役 打 探 所 到 之 处 的 详 细 情 况 ，,所 谓 厄 塞 的 ， 就 象 召 集 老 百 姓 唤 叫 老 兵 们 退 荒 询 解 他 们 的 所 有 悬 迫 ， 只 有 才 知 道 他 们 是 否 ；,3.991752103918031e-155,0.2992767691612243,0.6210969686508179
到 了 险 要 的 地 方 ， 就 叫 退 役 的 差 役 打 探 所 到 之 处 的 详 细 情 况 ， 有 时 发 现 所 到 之 处 的 情 况 和 平 日 里 知 道 的 不 相 符 ，,所 谓 厄 塞 的 最 优 行 为 方 式 ， 就 象 召 集 老 百 姓 弯 弯 肌 弯 的 召 集 老 兵 退 服 ，,2.541867953572631e-155,0.117084801197052,0.5757628679275513
就 叫 退 役 的 差 役 打 探 所 到 之 处 的 详 细 情 况 ，,一 昧 地 召 集 老 百 姓 去 役 军 ， 询 问 其 战 争 的 路 径 。,1.1200407237786665e-231,0.2357710003852844,0.6378656029701233
就 叫 退 役 的 差 役 打 探 所 到 之 处 的 详 细 情 况 ， 有 时 发 现 所 到 之 处 的 情 况 和 平 日 里 知 道 的 不 相 符 ，,即 召 集 老 百 姓 去 离 开 ， 询 问 兵 车 的 所 有 曲 折 。 ,4.263405258033464e-232,0.1619148701429367,0.619793176651001
有 时 发 现 所 到 之 处 的 情 况 和 平 日 里 知 道 的 不 相 符 ，,又 有 与 平 民 正 常 的 交 谈 不 听 懂 的 ， 所 以 不 合 理 。,1.319919120853524e-231,0.3940210342407226,0.6301208138465881
有 时 发 现 所 到 之 处 的 情 况 和 平 日 里 知 道 的 不 相 符 ， 就 走 向 街 市 客 店 中 ， 打 开 书 本 核 对 校 正 它 。,现 在 也 不 懂 过 ， 那 倒 是 把 它 散 开 在 绿 野 中 发 出 ， 就 会 迷 途 而 到 废 站 。,3.4665643290106906e-155,0.1123977825045585,0.6018702983856201
就 走 向 街 市 客 店 中 ， 打 开 书 本 核 对 校 正 它 。,现 在 就 好 了 ， 把 他 把 放 在 市 平 中 间 ， 肆 道 勋 劳 而 勋 劳 地 搜 染 罪 迹 。,1.1739546629120288e-231,0.1735575497150421,0.6065585017204285
有 时 直 接 行 走 地 平 坦 的 大 路 上 ，,也 可 是 辨 别 的 小 径 走 在 平 原 上 ，,6.072910347203158e-155,0.1951018571853637,0.6961594223976135
有 时 直 接 行 走 地 平 坦 的 大 路 上 ， 不 值 得 停 下 来 考 察 ，,也 可 是 走 在 平 原 上 ， 不 愿 意 留 下 一 点 留 意 ， 怎 么 办 呢 ？,2.250493055448548e-78,0.2908636331558227,0.6736056804656982
有 时 直 接 行 走 地 平 坦 的 大 路 上 ， 不 值 得 停 下 来 考 察 ， 就 在 马 背 上 默 默 地 诵 读 各 种 古 代 经 典 著 作 的 注 解 疏 证 ；,也 可 是 走 在 平 原 上 沿 河 边 远 远 远 建 城 邑 ， 不 担 心 留 下 一 点 意 思 ， 那 么 就 默 契 而 默 诵 《 书,3.5777663712039684e-155,0.278766930103302,0.6497471332550049
不 值 得 停 下 来 考 察 ，,不 愿 意 留 下 心 思 ，,1.258141043412406e-231,0.6253084540367126,0.7073229551315308
不 值 得 停 下 来 考 察 ， 就 在 马 背 上 默 默 地 诵 读 各 种 古 代 经 典 著 作 的 注 解 疏 证 ；,不 愿 意 留 下 心 思 ， 那 就 默 契 在 鞍 子 上 经 常 唱 唱 ； 能 听 到 的 《 革 命 经 书 》 和 《 鞠 鞀 经 书 》 都 很 有 启 觉 作,1.2882297539194156e-231,0.3609525263309479,0.6649854183197021
不 值 得 停 下 来 考 察 ， 就 在 马 背 上 默 默 地 诵 读 各 种 古 代 经 典 著 作 的 注 解 疏 证 ； 偶 尔 有 什 么 遗 忘 了 ，,不 愿 意 留 下 心 思 ， 那 就 默 叙 着 经 典 和 注 留 的 文 言 ； 有 人 遗 忘 ，,3.824747182160311e-155,0.2869610786437988,0.7122423052787781
就 在 马 背 上 默 默 地 诵 读 各 种 古 代 经 典 著 作 的 注 解 疏 证 ；,那 么 在 鞍 子 上 默 坚 定 地 读 《 书 》 ；,3.365724123188518e-155,0.3041892647743225,0.7058613896369934
就 在 马 背 上 默 默 地 诵 读 各 种 古 代 经 典 著 作 的 注 解 疏 证 ； 偶 尔 有 什 么 遗 忘 了 ，,那 么 在 鞍 子 上 默 叙 经 典 和 经 典 上 注 留 的 ； 有 的 是 忘 记 过 ， 但 是 还 是 拥 有 很 多 经 典 。,5.541564466373977e-155,0.3040059208869934,0.6694531440734863
就 在 马 背 上 默 默 地 诵 读 各 种 古 代 经 典 著 作 的 注 解 疏 证 ； 偶 尔 有 什 么 遗 忘 了 ， 就 到 客 店 中 打 开 书 仔 细 认 真 地 复 习 。,现 在 甚 至 是 在 鞍 子 上 默 叶 经 典 注 略 ； 有 人 却 忘 记 了 它 ， 那 么 就 在 普 通,3.643387654787737e-155,0.2508390247821808,0.6494274139404297
偶 尔 有 什 么 遗 忘 了 ，,有 些 事 情 遗 忘 ， 却 是 人 生 中 不 可 忽 视 的 。 ，,4.9054707110052255e-155,0.3991044759750366,0.6595642566680908
偶 尔 有 什 么 遗 忘 了 ， 就 到 客 店 中 打 开 书 仔 细 认 真 地 复 习 。,有 些 事 情 遗 忘 ， 那 就 会 在 市 中 大 扫 境 地 上 散 发 ， 犹 如 洗 干 浆 而 干 冻 的 水 芒 芒 然 一 般 爆 发 。,4.0432692373571865e-155,0.2434552609920501,0.6169204711914062
就 到 客 店 中 打 开 书 仔 细 认 真 地 复 习 。,then 他 就 会 在 市 中 大 批 公 孙 丑 和 贫 妇 等 人 中 批 发 礼 物 。,1.094855181967566e-231,0.1723795980215072,0.5921791791915894
欧 阳 询 曾 经 在 赶 路 的 途 中 ，,欧 阳 君 询 测 尝 试 行 ， 但 是 孟 施 于 天 下 ， 犹 是 不 行 为 于 天 下 ,4.262352868760118e-155,0.1424196511507034,0.6203141212463379
欧 阳 询 曾 经 在 赶 路 的 途 中 ， 见 到 一 块 古 碑 ，,欧 阳 君 询 测 尝 试 行 ， 见 到 古 碑 ， 这 就 好 了 。,4.3080226535839225e-78,0.4885978102684021,0.7127966284751892
欧 阳 询 曾 经 在 赶 路 的 途 中 ， 见 到 一 块 古 碑 ， 是 晋 代 书 法 家 索 靖 写 的 。,欧 阳 君 询 测 尝 试 行 为 ， 见 到 古 碑 ， 晋 国 的 《 书 》 。,2.9240088784488366e-78,0.4167693257331848,0.7044434547424316
见 到 一 块 古 碑 ，,拿 策 别 的 古 碑 ， 见 到 几 乎 是 同 样 的 。 ，,3.0074186032008e-78,0.2112390697002411,0.6839160323143005
见 到 一 块 古 碑 ， 是 晋 代 书 法 家 索 靖 写 的 。,拿 冰 山 的 碑 石 ， 晋 国 的 《 书 》 。,1.107719980955558e-231,0.3515732884407043,0.6587675213813782
是 晋 代 书 法 家 索 靖 写 的 。,晋 国 、,9.61854522837842e-233,0.1293715536594391,0.5780741572380066
他 驻 马 观 碑 ，,抱 怨 地 于 驾 车 观 察 别 人 的 行 为 ， 是 个 很 偏 心 的 东 西 。,9.893133360884868e-232,0.0917251631617546,0.5666603446006775
他 驻 马 观 碑 ， 许 久 才 离 开 。,抱 怨 不 退 ， 久 远 地 方 观 察 吧 。,1.3568676344828118e-231,0.2328191548585891,0.6211346983909607
